RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394653,65,"Greenville, SC",Msa,SC,8477.1178,8641.922,8586.0445,8579.0328,8517.2119,8773.449,8615.3524,8939.4937,8489.5536,8172.3456,7632.4246,8071.786,8365.6573,9045.6541,9010.043,9308.1188,8666.9905,8040.3577,7546.7784,7351.3479,7218.1068,7185.8679,7055.7633,7599.6209,7696.3643,7982.9394,7696.001,7655.4994,7808.4861,8053.3254,8437.3019,8333.8427,8538.8694,8536.3558,8808.1021,8693.0788,9339.8001,10686.1301,11978.6819,12553.0526,12470.8434
394952,66,"Ventura, CA",Msa,CA,23261.0621,21070.0491,20760.6293,20177.7965,20284.0109,20550.841,19782.1115,18484.139,17233.1883,16324.5862,15841.6595,16927.9653,18256.8492,19033.8732,18672.0264,19105.6358,19779.6739,19957.3351,19954.0422,19981.731,20137.8721,20538.4711,23321.9454,28757.8332,31116.8363,28990.8533,24582.0503,23366.0892,26313.7048,28436.9655,35422.3327,35444.7419,34796.7399,30201.776,34728.4435,48322.5748,54941.0621,59173.02,57744.0373,55758.6372,51499.616
394318,67,"Allentown, PA",Msa,PA,8706.2381,9151.0169,9776.4494,10490.1514,10294.8424,10012.7737,9554.3446,9562.7797,9673.4668,9524.0693,9514.515,9315.329,9613.8214,9635.3659,9811.5036,9894.9167,10183.6487,9987.6414,9838.8644,9611.3196,9591.0694,9359.2584,8984.4693,9730.451,10564.0198,13310.6463,13036.5897,13177.4911,11114.8104,11415.1682,12097.6564,12716.5002,12391.298,11233.5376,11453.4821,13288.02,14841.7674,14812.0402,14284.5853,14269.1817,14337.791
394561,68,"El Paso, TX",Msa,TX,5291.5828,5138.369,5184.0001,5250.524,5361.9851,5197.3973,5215.29,5130.2133,5327.4959,5550.2113,5943.5811,5928.5189,6036.208,6061.985,6229.6576,6174.9735,6033.3539,6041.951,6163.596,6034.2576,5916.0343,5468.4136,5790.2831,5796.3596,6204.624,6363.8749,6349.1426,6355.0413,6286.2408,7043.8115,7684.8969,7810.0524,7422.0326,6995.995,7200.1465,7292.1931,7817.5989,9024.3667,9513.5923,10035.8472,9542.3618
394367,69,"Baton Rouge, LA",Msa,LA,8141.0731,8254.1617,8219.1164,7936.9533,7519.4317,7450.2501,7570.7828,7588.1974,7594.7324,7425.9831,7368.6621,7357.5054,7585.1877,7738.4896,7945.9802,7774.9231,7937.8342,7638.5862,7760.9995,7194.2529,7207.7998,7208.0377,7279.2894,6941.0869,7079.4602,7247.574,7586.6,7480.5551,7778.4213,7919.8239,7798.1179,7576.1365,7382.1954,7297.5492,7836.2112,9057.2187,9822.2255,10538.8977,10692.0054,11287.4411,11245.0939
394521,70,"Dayton, OH",Msa,OH,5848.4874,5983.8489,6283.0956,6347.0742,6579.3888,6337.5248,6014.4183,5624.5959,5313.3191,4782.024,4600.7024,4989.2307,5585.9261,6459.5221,6794.9874,7226.9389,7017.7795,7050.3971,6909.2277,6764.1789,6333.2553,5927.4101,5786.1557,6483.3057,6711.4568,6894.543,6492.9852,6959.3741,7293.4,7538.6168,7695.4863,7743.5036,7389.0338,7325.0837,7350.597,8055.2151,8134.7382,9129.4313,10172.1784,10655.6159,10367.7236
394843,71,"McAllen, TX",Msa,TX,8068.624,8005.1796,7892.7963,8228.6091,8131.4317,8125.4597,8221.728,8318.8078,8059.2565,7521.1912,7571.49,7611.3102,7903.096,8589.0769,8545.9451,8592.9883,8191.6824,8646.5759,9308.4383,9428.0773,9845.1218,9030.8708,8906.0232,9058.2593,9576.7566,9844.5998,9048.8356,8943.4623,8569.8099,8884.7124,9069.3883,9162.1187,9680.7315,9280.102,9414.1111,8431.3878,8692.7619,9278.419,10525.8866,10907.8332,11253.6815
394486,72,"Columbia, SC",Msa,SC,6957.7617,6939.4517,7108.4432,7503.5278,7588.7034,7519.4905,7474.5041,7333.642,7212.4466,6677.1285,6583.2247,6428.2139,6997.1371,7285.3209,7595.3525,7315.8331,7041.3191,6764.7221,6467.7889,6153.8491,6159.4557,6306.3799,6619.8845,7036.6558,7229.4295,6761.1888,6435.5007,6261.9609,6924.6016,7182.5507,7255.188,6813.8434,6855.6606,6820.4316,7857.0398,8075.7728,9775.1345,11544.276,12561.7344,12824.7251,12186.6069
394648,73,"Greensboro, NC",Msa,NC,8418.1003,8904.2936,8904.445,8427.6122,8350.3976,8228.4219,8420.8198,8697.1041,8419.009,8159.7515,7824.4301,7722.29,7838.7552,7929.6562,8235.3294,8382.109,8328.1193,8166.2875,8128.6744,7921.5789,7624.2391,6945.7777,6908.0805,7150.1052,8005.9109,7379.0488,7614.8226,7712.1379,8843.4842,8795.1153,8631.7939,8052.4425,7936.0226,7738.7708,7708.6773,7719.5686,7895.6294,10280.5727,11084.0366,12396.635,10008.7268
394304,74,"Akron, OH",Msa,OH,7704.7687,8133.5859,8707.6829,9237.2355,9420.7796,8963.5966,8550.2888,8249.9265,7620.5133,7104.5614,6626.5494,6970.1029,7389.6509,7832.0081,8506.8788,9178.2559,9435.3801,9350.3407,8892.4744,8866.1814,8145.879,7652.6343,7244.3519,7436.8896,7988.599,8068.7629,8774.837,9143.7441,9543.8192,9989.9551,9950.1702,10221.0826,9446.2898,9101.6574,8397.5374,8187.1436,8603.4112,9145.5679,10146.8269,10311.1467,10962.6292
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,13800.5033,13739.5805,13363.5037,12857.8435,12559.637,12051.7089,11787.7774,11522.8285,11633.397,12596.0551,13523.122,14401.4003,14100.536,14265.0587,13834.0504,13707.5101,12564.481,12252.3129,11362.3618,11299.3908,10938.9782,11578.4457,12333.8064,13973.0037,14081.8329,13194.223,11436.7134,11051.0794,11581.9413,12076.0948,12290.9083,12010.7852,12060.9817,12650.3286,13566.4343,16077.169,18585.3171,21977.577,24131.0461,26041.2821,25313.0292
394798,76,"Little Rock, AR",Msa,AR,7826.5348,7044.2537,7149.826,7475.0698,7330.8278,7175.0036,6991.6773,6938.3545,6697.8868,6612.0231,6630.6107,6996.407,7333.8763,7575.836,7621.2192,7540.6431,7471.8344,7423.1313,7396.7506,7118.0741,6842.6865,6946.6992,7313.1315,7961.121,8088.0411,7679.4347,7413.7913,7304.3046,7760.0619,7605.1402,7842.7742,7881.8922,8182.1042,8506.9594,9001.1609,9864.8651,10140.7397,11191.1486,11795.0898,12486.5954,12166.7025
395134,77,"Stockton, CA",Msa,CA,10073.7436,10361.7149,10498.9176,11255.043,11587.1174,11356.758,11234.8016,10950.7503,11102.9373,10231.5609,9929.2421,9586.0139,9942.8363,9892.452,10344.2972,10462.5449,10800.4548,10581.9814,10815.7523,10669.369,10455.1567,10600.1397,10855.7373,12155.7695,12056.8509,11357.682,9718.4758,9969.636,10884.7491,12844.9571,13745.7668,15432.637,16021.6022,18138.2323,18651.9959,18358.7484,17537.6697,20307.1677,24197.0114,27067.5321,26581.4901
394457,78,"Charleston, SC",Msa,SC,11899.7333,12138.5735,12614.8192,12285.8578,11213.7465,10753.6492,10196.4704,10748.0349,10807.5488,10284.2006,9954.0902,10079.9452,10595.1327,11296.3084,11944.7038,11783.0047,11099.169,10222.9345,10464.6289,10401.7723,10830.3492,10688.9204,10891.1274,11469.8363,12214.1872,11546.5738,10581.0146,9850.0204,10523.7382,11189.1187,11469.2489,12540.2961,13543.4325,14084.3945,14375.135,14631.6159,16831.2637,18768.3692,20789.1941,20309.6683,20140.1886
395143,79,"Syracuse, NY",Msa,NY,7274.8185,7684.4223,7599.0474,8360.1797,8509.1828,8577.4838,7877.0916,8315.3976,8071.818,8106.9118,7644.5613,6839.192,6757.9992,6820.2774,7811.7812,8248.83,8533.9986,8463.0632,8494.2204,8406.8716,8011.7961,8415.68,8005.7776,8384.4324,8006.627,10667.0477,10826.4525,11130.2818,9956.6207,10543.005,11788.6236,11356.3576,11817.0581,10759.9438,9988.9078,9558.4186,9425.4363,10879.4848,13561.1472,15047.4638,16166.404
394484,80,"Colorado Springs, CO",Msa,CO,10449.7302,12289.7273,13702.951,13897.8187,12558.7798,11695.4782,10721.9111,10814.1313,10434.4451,11040.02,10482.7623,10551.9052,10373.7291,10657.6131,12667.9302,12913.3434,13241.651,12368.4827,12340.0647,12543.8962,11420.9964,10495.0033,10844.4242,12051.3646,14567.8943,14642.7691,14611.0274,13632.0177,13451.3117,14230.384,14326.4965,14580.4011,13445.7538,13383.9006,13512.2929,17444.1892,18996.9528,19459.9007,21267.8158,26009.3631,30243.0728
395235,81,"Winston-Salem, NC",Msa,NC,9640.3425,9747.3857,9588.746,8990.7188,8776.5811,8403.0,8164.2852,8144.3291,9579.3655,9002.0954,9127.5574,7994.9943,8999.5497,9389.5149,9763.5238,10120.3714,9550.6604,9122.049,8500.9215,8356.7191,8315.525,8156.7601,8522.6022,9313.5607,9838.3732,9876.2572,9155.7818,9209.6354,9254.6202,9123.9531,8549.7521,8511.9598,8813.7074,9220.8901,9331.9471,9646.4525,13858.0036,19257.7186,19443.4757,16368.0782,12691.4724
